,segment,length,ave_width,spine_count,spine_density,stage,group,culture,batch,segment_ID
0,w1c1-seg1,33.57,1.0,53,1.57864,before,sham,1,batch3008,batch3008-w1c1-seg1
1,w1c1-seg2,49.91,0.78,106,2.12365,before,sham,1,batch3008,batch3008-w1c1-seg2
2,w1c1-seg3,21.69,0.88,40,1.84427,before,sham,1,batch3008,batch3008-w1c1-seg3
3,w1c1-seg1,33.57,0.87,52,1.54886,after,sham,1,batch3008,batch3008-w1c1-seg1
4,w1c1-seg2,43.08,0.71,92,2.13553,after,sham,1,batch3008,batch3008-w1c1-seg2
5,w1c1-seg3,24.66,0.79,49,1.98703,after,sham,1,batch3008,batch3008-w1c1-seg3
6,w1c3-seg1,48.13,0.77,76,1.57901,before,sham,2,batch3008,batch3008-w1c3-seg1
7,w1c3-seg1,40.7,0.74,71,1.74431,after,sham,2,batch3008,batch3008-w1c3-seg1
8,w1c4-seg1,28.23,0.87,48,1.70061,before,sham,3,batch3008,batch3008-w1c4-seg1
9,w1c4-seg2,56.45,0.76,72,1.27546,before,sham,3,batch3008,batch3008-w1c4-seg2
10,w1c4-seg1,26.74,0.88,53,1.98207,after,sham,3,batch3008,batch3008-w1c4-seg1
11,w1c4-seg2,55.86,0.8,67,1.19951,after,sham,3,batch3008,batch3008-w1c4-seg2
12,w2c1-seg1,25.55,0.78,65,2.54391,before,50micro,4,batch3008,batch3008-w2c1-seg1
13,w2c1-seg2,11.88,0.82,20,1.68289,before,50micro,4,batch3008,batch3008-w2c1-seg2
14,w2c1-seg3,15.15,0.8,29,1.91388,before,50micro,4,batch3008,batch3008-w2c1-seg3
15,w2c1-seg4,16.04,0.72,32,1.99454,before,50micro,4,batch3008,batch3008-w2c1-seg4
16,w2c1-seg1,22.88,0.78,54,2.36042,after,50micro,4,batch3008,batch3008-w2c1-seg1
17,w2c1-seg2,11.29,0.82,18,1.59432,after,50micro,4,batch3008,batch3008-w2c1-seg2
18,w2c1-seg3,10.7,0.86,19,1.77639,after,50micro,4,batch3008,batch3008-w2c1-seg3
19,w2c1-seg4,15.75,0.72,33,2.09568,after,50micro,4,batch3008,batch3008-w2c1-seg4
20,w2c2-seg1,42.19,0.78,86,2.03843,before,50micro,5,batch3008,batch3008-w2c2-seg1
21,w2c2-seg2,22.28,0.91,47,2.10923,before,50micro,5,batch3008,batch3008-w2c2-seg2
22,w2c2-seg3,27.93,0.85,41,1.46806,before,50micro,5,batch3008,batch3008-w2c2-seg3
23,w2c2-seg1,38.92,0.79,83,2.13252,after,50micro,5,batch3008,batch3008-w2c2-seg1
24,w2c2-seg2,23.47,0.88,46,1.95982,after,50micro,5,batch3008,batch3008-w2c2-seg2
25,w2c2-seg3,29.71,0.8,46,1.54826,after,50micro,5,batch3008,batch3008-w2c2-seg3
26,w2c3-seg1,36.25,0.76,46,1.26907,before,50micro,6,batch3008,batch3008-w2c3-seg1
27,w2c3-seg2,31.2,0.84,54,1.73097,before,50micro,6,batch3008,batch3008-w2c3-seg2
28,w2c3-seg1,38.03,0.76,57,1.49883,after,50micro,6,batch3008,batch3008-w2c3-seg1
29,w2c3-seg2,32.09,0.82,52,1.62056,after,50micro,6,batch3008,batch3008-w2c3-seg2
30,w2c4-seg1,34.46,0.83,43,1.24766,before,50micro,7,batch3008,batch3008-w2c4-seg1
31,w2c4-seg2,27.04,0.8,32,1.18357,before,50micro,7,batch3008,batch3008-w2c4-seg2
32,w2c4-seg1,40.11,0.89,37,0.92247,after,50micro,7,batch3008,batch3008-w2c4-seg1
33,w2c4-seg2,25.55,0.83,29,1.13497,after,50micro,7,batch3008,batch3008-w2c4-seg2
34,w3c2-seg1,53.18,0.96,97,1.82392,before,200nano,8,batch3008,batch3008-w3c2-seg1
35,w3c2-seg2,41.6,0.99,79,1.89926,before,200nano,8,batch3008,batch3008-w3c2-seg2
36,w3c2-seg1,49.32,0.89,89,1.80455,after,200nano,8,batch3008,batch3008-w3c2-seg1
37,w3c2-seg2,41.3,0.86,84,2.034,after,200nano,8,batch3008,batch3008-w3c2-seg2
38,w3c3-seg1,49.91,0.73,58,1.162,before,200nano,9,batch3008,batch3008-w3c3-seg1
39,w3c3-seg2,26.74,0.69,46,1.72029,before,200nano,9,batch3008,batch3008-w3c3-seg2
40,w3c3-seg1,48.43,0.7,75,1.54867,after,200nano,9,batch3008,batch3008-w3c3-seg1
41,w3c3-seg2,26.44,0.72,46,1.73962,after,200nano,9,batch3008,batch3008-w3c3-seg2
42,w3c4-seg1,48.13,0.77,88,1.82833,before,200nano,10,batch3008,batch3008-w3c4-seg1
43,w3c4-seg1,48.73,0.74,88,1.80603,after,200nano,10,batch3008,batch3008-w3c4-seg1
44,w4c1-seg1,49.62,0.84,95,1.91467,before,sham,11,batch3008,batch3008-w4c1-seg1
45,w4c1-seg2,48.43,0.85,99,2.04425,before,sham,11,batch3008,batch3008-w4c1-seg2
46,w4c1-seg1,43.67,0.73,89,2.03779,after,sham,11,batch3008,batch3008-w4c1-seg1
47,w4c1-seg2,43.08,0.83,89,2.0659,after,sham,11,batch3008,batch3008-w4c1-seg2
48,w4c2-seg1,30.6,0.68,56,1.82994,before,sham,12,batch3008,batch3008-w4c2-seg1
49,w4c2-seg2,35.65,0.68,82,2.29995,before,sham,12,batch3008,batch3008-w4c2-seg2
50,w4c2-seg3,29.71,0.79,64,2.1541,before,sham,12,batch3008,batch3008-w4c2-seg3
51,w4c2-seg1,28.23,0.68,59,2.09033,after,sham,12,batch3008,batch3008-w4c2-seg1
52,w4c2-seg2,35.65,0.74,76,2.13166,after,sham,12,batch3008,batch3008-w4c2-seg2
53,w4c2-seg3,30.6,0.85,62,2.02601,after,sham,12,batch3008,batch3008-w4c2-seg3
54,w4c4-seg1,49.32,0.83,78,1.58151,before,sham,13,batch3008,batch3008-w4c4-seg1
55,w4c4-seg1,47.54,0.82,77,1.61978,after,sham,13,batch3008,batch3008-w4c4-seg1
56,w5c1-seg1,22.88,0.73,53,2.31671,before,50micro,14,batch3008,batch3008-w5c1-seg1
57,w5c1-seg2,26.15,0.74,52,1.98887,before,50micro,14,batch3008,batch3008-w5c1-seg2
58,w5c1-seg1,24.36,0.75,53,2.17545,after,50micro,14,batch3008,batch3008-w5c1-seg1
59,w5c1-seg2,22.28,0.78,48,2.1541,after,50micro,14,batch3008,batch3008-w5c1-seg2
60,w5c2-seg1,47.54,0.69,103,2.16672,before,50micro,15,batch3008,batch3008-w5c2-seg1
61,w5c2-seg2,45.16,0.74,113,2.5022,before,50micro,15,batch3008,batch3008-w5c2-seg2
62,w5c2-seg1,47.54,0.7,110,2.31398,after,50micro,15,batch3008,batch3008-w5c2-seg1
63,w5c2-seg2,46.94,0.76,102,2.17285,after,50micro,15,batch3008,batch3008-w5c2-seg2
64,w5c3-seg1,21.99,0.75,31,1.40999,before,50micro,16,batch3008,batch3008-w5c3-seg1
65,w5c3-seg1,23.77,0.68,25,1.05181,after,50micro,16,batch3008,batch3008-w5c3-seg1
66,w5c4-seg1,50.21,0.77,64,1.27462,before,50micro,17,batch3008,batch3008-w5c4-seg1
67,w5c4-seg1,50.21,0.81,45,0.89621,after,50micro,17,batch3008,batch3008-w5c4-seg1
68,w6c1-seg1,37.73,0.72,98,2.59722,before,200nano,18,batch3008,batch3008-w6c1-seg1
69,w6c1-seg2,47.24,0.7,112,2.37087,before,200nano,18,batch3008,batch3008-w6c1-seg2
70,w6c1-seg1,36.84,0.71,96,2.60577,after,200nano,18,batch3008,batch3008-w6c1-seg1
71,w6c1-seg2,47.54,0.74,115,2.41916,after,200nano,18,batch3008,batch3008-w6c1-seg2
72,w6c2-seg1,49.62,0.93,72,1.45112,before,200nano,19,batch3008,batch3008-w6c2-seg1
73,w6c2-seg1,47.24,0.86,76,1.6088,after,200nano,19,batch3008,batch3008-w6c2-seg1
74,w6c3-seg1,32.38,0.69,60,1.85273,before,200nano,20,batch3008,batch3008-w6c3-seg1
75,w6c3-seg2,36.54,0.86,57,1.55975,before,200nano,20,batch3008,batch3008-w6c3-seg2
76,w6c3-seg3,24.66,0.97,34,1.37876,before,200nano,20,batch3008,batch3008-w6c3-seg3
77,w6c3-seg1,32.98,0.66,81,2.45611,after,200nano,20,batch3008,batch3008-w6c3-seg1
78,w6c3-seg2,35.65,0.94,62,1.73899,after,200nano,20,batch3008,batch3008-w6c3-seg2
79,w6c3-seg3,25.55,0.92,40,1.56548,after,200nano,20,batch3008,batch3008-w6c3-seg3
80,w6c4-seg1,49.62,0.71,107,2.15652,before,200nano,21,batch3008,batch3008-w6c4-seg1
81,w6c4-seg1,48.73,0.74,116,2.38068,after,200nano,21,batch3008,batch3008-w6c4-seg1
0,w1c1-seg1,48.43,0.69,80,1.65192,before,50micro,34,batch3009,batch3009-w1c1-seg1
1,w1c1-seg1,46.94,0.7,68,1.44857,after,50micro,34,batch3009,batch3009-w1c1-seg1
2,w1c2-seg1,23.47,0.69,57,2.42848,before,50micro,22,batch3009,batch3009-w1c2-seg1
3,w1c2-seg2,16.34,0.7,40,2.44784,before,50micro,22,batch3009,batch3009-w1c2-seg2
4,w1c2-seg3,21.39,0.68,51,2.3841,before,50micro,22,batch3009,batch3009-w1c2-seg3
5,w1c2-seg4,44.57,0.68,105,2.35605,before,50micro,22,batch3009,batch3009-w1c2-seg4
6,w1c2-seg5,19.01,0.73,48,2.52434,before,50micro,22,batch3009,batch3009-w1c2-seg5
7,w1c2-seg1,23.77,0.66,50,2.10362,after,50micro,22,batch3009,batch3009-w1c2-seg1
8,w1c2-seg2,13.37,0.72,25,1.86988,after,50micro,22,batch3009,batch3009-w1c2-seg2
9,w1c2-seg3,21.39,0.64,55,2.57109,after,50micro,22,batch3009,batch3009-w1c2-seg3
10,w1c2-seg4,44.27,0.7,107,2.41704,after,50micro,22,batch3009,batch3009-w1c2-seg4
11,w1c2-seg5,16.94,0.66,47,2.7753,after,50micro,22,batch3009,batch3009-w1c2-seg5
12,w1c4-seg1,29.71,0.82,51,1.71655,before,50micro,23,batch3009,batch3009-w1c4-seg1
13,w1c4-seg2,53.48,0.84,81,1.5146,before,50micro,23,batch3009,batch3009-w1c4-seg2
14,w1c4-seg1,29.71,0.72,43,1.44729,after,50micro,23,batch3009,batch3009-w1c4-seg1
15,w1c4-seg2,53.78,0.8,55,1.02275,after,50micro,23,batch3009,batch3009-w1c4-seg2
16,w2c1-seg1,16.64,0.89,30,1.8031,before,200nano,24,batch3009,batch3009-w2c1-seg1
17,w2c1-seg2,46.05,0.78,55,1.19431,before,200nano,24,batch3009,batch3009-w2c1-seg2
18,w2c1-seg1,20.2,0.93,41,2.02937,after,200nano,24,batch3009,batch3009-w2c1-seg1
19,w2c1-seg2,45.16,0.78,69,1.52789,after,200nano,24,batch3009,batch3009-w2c1-seg2
20,w2c2-seg1,36.84,0.92,77,2.09004,before,200nano,25,batch3009,batch3009-w2c2-seg1
21,w2c2-seg2,29.71,0.73,53,1.78387,before,200nano,25,batch3009,batch3009-w2c2-seg2
22,w2c2-seg3,18.12,0.86,25,1.37942,before,200nano,25,batch3009,batch3009-w2c2-seg3
23,w2c2-seg4,19.01,0.74,34,1.78807,before,200nano,25,batch3009,batch3009-w2c2-seg4
24,w2c2-seg1,37.44,0.88,65,1.73632,after,200nano,25,batch3009,batch3009-w2c2-seg1
