, ,Label,Area,IntDen,RawIntDen,batch,stage,group,culture
0,1,MAX_w1c2-63xz.tif,0.48100000000000004,88.302,9003.0,batch1031,d0,200nano,w1c2-seg1
1,2,MAX_w1c2-63xz.tif,0.461,88.84200000000001,9058.0,batch1031,d0,200nano,w1c2-seg1
2,3,MAX_w1c2-63xz.tif,0.38299999999999995,71.893,7330.0,batch1031,d0,200nano,w1c2-seg1
3,4,MAX_w1c2-63xz.tif,0.5589999999999999,54.945,5602.0,batch1031,d0,200nano,w1c2-seg1
4,5,MAX_w1c2-63xz.tif,0.51,51.913999999999994,5293.0,batch1031,d0,200nano,w1c2-seg1
5,6,MAX_w1c2-63xz.tif,0.569,71.442,7284.0,batch1031,d0,200nano,w1c2-seg1
6,7,MAX_w1c2-63xz.tif,0.785,71.54,7294.0,batch1031,d0,200nano,w1c2-seg1
7,8,MAX_w1c2-63xz.tif,0.991,106.43700000000001,10852.0,batch1031,d0,200nano,w1c2-seg1
8,9,MAX_w1c2-63xz.tif,0.706,36.516,3723.0,batch1031,d0,200nano,w1c2-seg1
9,10,MAX_w1c2-63xz.tif,0.863,70.0,7137.0,batch1031,d0,200nano,w1c2-seg1
10,11,MAX_w1c2-63xz.tif,0.52,53.376000000000005,5442.0,batch1031,d0,200nano,w1c2-seg1
11,12,MAX_w1c2-63xz.tif,0.628,52.601000000000006,5363.0,batch1031,d0,200nano,w1c2-seg1
12,13,MAX_w1c2-63xz.tif,0.53,53.101000000000006,5414.0,batch1031,d0,200nano,w1c2-seg1
13,14,MAX_w1c2-63xz.tif,0.687,59.574,6074.0,batch1031,d0,200nano,w1c2-seg1
14,15,MAX_w1c2-63xz.tif,1.844,197.015,20087.0,batch1031,d0,200nano,w1c2-seg1
15,16,MAX_w1c2-63xz.tif,0.47100000000000003,61.82,6303.0,batch1031,d0,200nano,w1c2-seg1
16,17,MAX_w1c2-63xz.tif,0.8340000000000001,167.14,17041.0,batch1031,d0,200nano,w1c2-seg1
17,18,MAX_w1c2-63xz.tif,0.726,47.255,4818.0,batch1031,d0,200nano,w1c2-seg1
18,19,MAX_w1c2-63xz.tif,0.43200000000000005,37.29,3802.0,batch1031,d0,200nano,w1c2-seg1
19,20,MAX_w1c2-63xz.tif,0.853,52.199,5322.0,batch1031,d0,200nano,w1c2-seg1
20,21,MAX_w1c2-63xz.tif,0.8340000000000001,52.503,5353.0,batch1031,d0,200nano,w1c2-seg1
21,22,MAX_w1c2-63xz.tif,1.04,176.644,18010.0,batch1031,d0,200nano,w1c2-seg1
22,23,MAX_w1c2-63xz.tif,0.696,119.992,12234.0,batch1031,d0,200nano,w1c2-seg1
23,24,MAX_w1c2-63xz.tif,0.853,92.226,9403.0,batch1031,d0,200nano,w1c2-seg1
24,25,MAX_w1c2-63xz.tif,1.089,78.994,8054.0,batch1031,d0,200nano,w1c2-seg1
25,26,MAX_w1c2-63xz.tif,1.167,91.34299999999999,9313.0,batch1031,d0,200nano,w1c2-seg1
26,27,MAX_w1c2-63xz.tif,1.52,124.396,12683.0,batch1031,d0,200nano,w1c2-seg1
27,28,MAX_w1c2-63xz.tif,1.913,165.90400000000002,16915.0,batch1031,d0,200nano,w1c2-seg1
0,1,MAX_w4c3-63xz.tif,1.0,108.33,11045.0,batch1031,d0,50micron,w4c3-seg1
1,2,MAX_w4c3-63xz.tif,1.824,137.088,13977.0,batch1031,d0,50micron,w4c3-seg1
2,3,MAX_w4c3-63xz.tif,0.52,99.552,10150.0,batch1031,d0,50micron,w4c3-seg1
3,4,MAX_w4c3-63xz.tif,1.609,164.266,16748.0,batch1031,d0,50micron,w4c3-seg1
4,5,MAX_w4c3-63xz.tif,1.226,83.693,8533.0,batch1031,d0,50micron,w4c3-seg1
5,6,MAX_w4c3-63xz.tif,0.52,43.224,4407.0,batch1031,d0,50micron,w4c3-seg1
6,7,MAX_w4c3-63xz.tif,1.4909999999999999,140.246,14299.0,batch1031,d0,50micron,w4c3-seg1
7,8,MAX_w4c3-63xz.tif,0.863,66.342,6764.0,batch1031,d0,50micron,w4c3-seg1
8,9,MAX_w4c3-63xz.tif,0.34299999999999997,55.828,5692.0,batch1031,d0,50micron,w4c3-seg1
9,10,MAX_w4c3-63xz.tif,1.618,225.02700000000002,22943.0,batch1031,d0,50micron,w4c3-seg1
10,11,MAX_w4c3-63xz.tif,0.922,133.655,13627.0,batch1031,d0,50micron,w4c3-seg1
11,12,MAX_w4c3-63xz.tif,0.775,124.73899999999999,12718.0,batch1031,d0,50micron,w4c3-seg1
12,13,MAX_w4c3-63xz.tif,2.2359999999999998,256.139,26115.0,batch1031,d0,50micron,w4c3-seg1
13,14,MAX_w4c3-63xz.tif,0.873,121.934,12432.0,batch1031,d0,50micron,w4c3-seg1
14,15,MAX_w4c3-63xz.tif,0.43200000000000005,54.651,5572.0,batch1031,d0,50micron,w4c3-seg1
15,16,MAX_w4c3-63xz.tif,0.755,92.863,9468.0,batch1031,d0,50micron,w4c3-seg1
16,17,MAX_w4c3-63xz.tif,0.618,76.297,7779.0,batch1031,d0,50micron,w4c3-seg1
17,18,MAX_w4c3-63xz.tif,0.696,65.067,6634.0,batch1031,d0,50micron,w4c3-seg1
